name,website,facebook,street,city,county,state,zip
Apple Country Farmers Market,http://www.applecountryorchards.com,,19th and Ave A,Lubbock,Lubbock,Texas,79401
Apple Country Farmers Market,http://www.applecountryorchards.com,,12206 E. Hwy 62,Idalou,Lubbock,Texas,79329
Apple Valley Farmers' Market,,,corner of Cty Rd 42 & Galaxy near City Hall,Apple Valley,Dakota County,Minnesota,
Appleton Downtown Farm Market,http://www.appletondowntown.org,www.facebook.com/downtownappletonfarmmarket,100 College Avenue,Appleton,Outagamie,Wisconsin,54911
Aptos Farmers Market at Cabrillo College,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,6500 Soquel Drive,Aptos,Santa Cruz,California,95003
Aquidneck Growers' Markets,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,909 East Main Road,Middletown,Newport,Rhode Island,2840
Aquidneck Growers' Markets in Newport,http://www.aquidneckgrowersmarket.org,https://www.facebook.com/pages/Aquidneck-Growers-Market/145175198849594?ref=hl,Memorial Boulevard and Edgar Street,Newport,Newport,Rhode Island,2840
ARAB FARMERS MARKET,,,307 NORTH MAIN STREET,ARAB,Marshall,Alabama,36016
Arbuckle Certified Farmers Market,http://arbucklerevitalization.org/farmersmarket.html,,6613 Harrington Avenue,Arbuckle ,Amador,California,
Arcade Farmers' Market,,,400 W. Main St.,Arcade,Wyoming,New York,14009
Arcadia Valley Farmers' Market,,,250 South Main Street,Ironton,Iron,Missouri,63650
Arcata Plaza Farmers' Market,http://www.humfarm.org,https://www.facebook.com/North.Coast.Growers.Association,9th and H Streets,Arcata,Humboldt,California,95521
Archwood Green Barns Farmers' Market,,https://www.facebook.com/Archwoodgreenbarns,"Intersection of Rt. 245 & I-66, exit 31",The Plains,Fauquier,Virginia,20198
Area Farmers Market,http://www.brazosvalleyfarmersmarket.com,,3102 Baldwin Street,Corpus Christi,Nueces,Texas,78405
Arenac Conservation District Farmers Market,http://www.arenacconservationdistrict.com,,107 N Main Street,Standish,Arenac,Michigan,48658
Argus Farm Stop,http://www.argusfarmstop.com,https://www.facebook.com/argusfarmstop,325 W Liberty,Ann Arbor,Washtenaw,Michigan,48103
Arivaca Market,,,"Gadsen Coffee Co., 16800 Arivaca Rd.",Arivaca,Pima County,Arizona,
Ark City Farm & Art Market,http://www.arkcity.org/CurrentEvents.asp?EID=1457,,200 Blcok S. Summit,Arkansas City,Cowley,Kansas,67005
Arkansas County/North Farmers Market,,,Main and Sixth,Stuttgart,Arkansas,Arkansas,72160
Arkansas County/South Farmers Market,,,The Triangle,DeWitt,Arkansas,Arkansas,72042
Arkansas Home Grown Market I,,,Corner of Cantrell and Pleasant Valley,Little Rock,Pulaski,Arkansas,72206
Arkansas Home Grown Market II,,,Lakewood Village Mall,Little Rock,Pulaski,Arkansas,72206
Arkansas Home Grown Market III,,,YMCA - 12th & Cleveland,Little Rock,Pulaski,Arkansas,72206
Arkansas Local Food Network Online Farmers Market,http://www.littlerock.locallygrown.net,,509 Scott St.,Little Rock,Pulaski,Arkansas,72201
Arlene Knudson,,,305 N. Buckeye Street,Osgood,Ripley,Indiana,47037
Arlington Farmers Market,http://www.Arlingtonfarmersmarket.blogspot.com,https://www.facebook.com/pages/Arlington-Farmers-Market/148219895193047,200 North Olympic,Arlington,Snohomish,Washington,98223
Arlington Farmers Market,http://www.arlingtonhasit.org,,123 Raymond Avenue ,Poughkeepsie,Dutchess,New York,12603
Arlington Farmers Market,http://www.arlingtonparks.us/farmersmarket,https://www.facebook.com/arlparksrec,1400 N. Courthouse Rd.,Arlington ,Arlington,Virginia,22201
Arlington Farmers Market,http://farmersmarketarlington.org,,"Russell Commons Parking Lot, Winslow St. at Mystic St","Arlington, Ma. ",Middlesex,Massachusetts,2474
Arlington Heights Farmers Market,,,N. Arlington Heights Rd. at E. Eastman St.,Arlington,Cook,Illinois,60004
Arlington Mill Farmers Market,http://www.columbiapike.org,www.facebook.com/pages/Columbia-Pike-Farmers-Marke,"Arlington Mill Community Center, 909 S. Dinwiddie Street",Arlington ,Arlington,Virginia,22204
Armijo Village Growers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,http://www.fahttp://www.facebook.com/pages/Armijo-Growers-Market-Sat-8am-Noon-Isletcebook.com/pages/Armijo-Growers-Market-Sat-8am-Noon-Isleta-Arenal/249960885043975,Isleta Blvd & Arenal Rd,Albuquerque,Bernalillo,New Mexico,
Armory Farmers Market,http://www.farmfreshri.org,https://www.facebook.com/farmfreshri,Parade St And Hudson St,Providence ,Providence,Rhode Island,2907
Arnold Farmers Market,,https://www.facebook.com/arnoldfarmersmarket,2400 Bradley Beach Road,Arnold,Jefferson,Missouri,63010
Arnold-Mountain Growers Farmers Market,,,"Cedar Center, Hwy. 4 & Oak Circle",Murphys,Calaveras,California,95247
Arroyo Grande Oak Park Plaza Farmers Market,,,"East Branch, K-Mart Parking lot",Arroyo Grande,San Luis Obispo,California,93420
Arroyo Grande Spencers CFM,,,1464 E. Grand Avenue,Arroyo Grande,SAN LUIS OBISPO,California,
Arthur Produce Auction,,,354 N Cr-100 E,Arthur,,Illinois,61911
Artisan and Agriculture Market,http://www.MacombConservationDistrict.org,https://www.facebook.com/macombcd,72955 Van Dyke Ave.,Bruce Township,Macomb,Michigan,48065
Artisan Exchange West Chester,http://www.artisanexchangewcpa.com,http://www.facebook.com/ArtisanExchangeWCPa,208 Carter Drive Suite 13B,West Chester,Chester,Pennsylvania,19382
Artisan Foodworks Thursday Evening Market,http://www.artisanfoodworks.com/,http://www.facebook.com/ArtisanFoodworksMKT,9600 North US Hwy 31,Columbus ,Bartholomew,Indiana,47201
Artisan Gift and Farmers Market,,,"Bear Canyon Shopping Center, (East Tanque Verde Rd. & Catalina Hwy.)",TUCSON,Pima County,Arizona,
Arvada Farmers Market,http://www.arvadafarmersmarket.com,https://www.facebook.com/arvadafarmersmarket,57th St. & Olde Wadsworth St.,Arvada,Jefferson,Colorado,80002
Arvada Five Parks Farmers Market,http://www.arvadafiveparksfarmersmarket.blogspot.com/,https://www.facebook.com/pages/Arvada-Five-Parks-Farmers-Market/469569033116556,13810 W. 85th Dr.,Arvada,,Colorado,80005
Asbury Fresh,http://www.asburyfresh.com/,,Kennedy Park (on Cookman Ave next to Ivan & Andys,Asbury Park,,New Jersey,7712
Asbury Park Carousel Farmers' Market,,, First and Ocean Avenue,Asbury Park,Monmouth,New Jersey,7712
Ashboro Downtown Farmers Market,,,134 South Church Street,Asheboro,Randolph,North Carolina,28801
Ashburn (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,,6700 S. Kedzie Ave.,Chicago,Cook,Illinois,60629
Ashburn Farmers Market,http://www.loudounfarmersmarkets.org,https://www.facebook.com/pages/Ashburn-Farmers-Market/229607597124025,"One Loudoun, 20357 Exchange St.",Ashburn,Loudoun,Virginia,20147
Ashburnham Farmers Market,,,32 Main St,Ashburnham,,Massachusetts,1430
Ashby Farmers Market,,,"Town Common, Main Street, Rte 119",Ashby,,Massachusetts,1431
Ashdown Farmers Market,,,Block of East Main St.,Ashdown,Little River,Arkansas,71822
Ashe County Farmers Market,http://www.ashefarmersmarket.com,https://www.facebook.com/ashe.farmers?fref=ts,108 Backstreet,West Jefferson,Ashe,North Carolina,28694
Asheville City Market,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,161 S Charlotte Street,Asheville ,Buncombe,North Carolina,28801
Asheville City Market - South,http://asapconnections.org/citymarket,https://www.facebook.com/AshevilleCityMarket,1 Town Square Blvd,Asheville,Buncombe,North Carolina,28803
Ashfield Farmers Market,http://www.ashfieldfarmersmarket.com,,Ashfield Town Common,Ashfield,Franklin,Massachusetts,1330
ASHFORD FARMERS’ MARKET,,,"Pompey Hollow Park, across from the Town Hall",Ashford,Windham,Connecticut,
Ashland Area Farmers Market,,,200th Block Chapple Ave,Ashland,Ashland,Wisconsin,54846
Ashland Farmers Market,http://www.facebook.com/ashlandfarmersmarket,https://www.facebook.com/ashlandfarmersmarket,121 Thompson St.,Ashland,Hanover,Virginia,23005
Ashland Farmers Market,http://www.ashlandfarmersmarket.org/,https://www.facebook.com/AshlandMAFarmersMarket,125 Front St,Ashland,Middlesex,Massachusetts,1721
Ashland Tuesday Market,http://www.rvgrowersmarket.com,,1420 East Main,Ashland,Jackson,Oregon,97520
Ashland United Methodist Church Farmers Market,http://www.ashlandumc.com/gallery/seeds/seeds.htm,,2600 Ashland Road,Columbia,Richland,South Carolina,29210
Ashley County Farmers Market,,,Highway 82,Crossett,Ashley,Arkansas,71635
Ashley Farmers Market,,,"On East Main Street,",Ashley,McIntosh County,North Dakota,
Ashley Valley Farmers' Market (Vernal),http://www.avfarmersmarket.com,,Old Dinosaur Gardens on Main Street (~240East),Vernal,Uintah,Utah,
Ashmont/Peabody Square Farmers Market,http://www.smams.org,https://www.facebook.com/AshmontPeabodySquareMarket,Ashmont MBTA Plaza,Dorchester,Suffolk,Massachusetts,2124
Ashotn Farmers Market,http://www.gardenshelper.blogspot.com,,Off Main Street,Ashton,Fremont,Idaho,83420
Ashtabula Farmers Market,,https://www.facebook.com/AshtabulaFarmersMarket,1119 Bridge Street,Ashtabula,,Ohio,44004
Aspen Grove Farmers' Market,http://www.denverfarmersmarket.com,https://www.facebook.com/denverfarmersmarket,7301 S Santa Fe Dr,Littleton,Douglas,Colorado,80120
Aspen Saturday Market,,,East Hopkins and South Hunter,Aspen,Pitkin,Colorado,81611
Astoria Greenmarket,http://www.grownyc.org,https://www.facebook.com/QueensGreenmarkets,14 St - 31 Ave & 31 Rd,Queens,Queens,New York,11106
Astoria Sunday Market,http://www.AstoriaSundayMarket.com,,12th Street,Astoria,Clatsop,Oregon,97103
ASU Farmers Market,http://www.students.asu.edu/farmersmarket,https://www.facebook.com/ASUFarmersMarket,300 E Orange Mall,Tempe,Maricopa,Arizona,85281
ASU Regional Farmers Market,http://www.asuregionalfarmersmarket.org,https://www.facebook.com/asuregionalfarmersmarket,3300 Aggie Road,Jonesboro,Craighead,Arkansas,72401
ASUEP Natchez Farmers Market,,,199 St. Catherine Street,Natchez,Adams,Mississippi,39120
ATACs Capitan Farmers Market,http://www.ataclincolncounty.org,https://www.facebook.com/pages/Capitan-Farmers-Market/160832100703579,115 Smokey Bear Blvd.,Capitan,,New Mexico,88316
Atascadero  Farmers Market,http://www.northcountyfarmersmarkets.com/,https://www.facebook.com/NorthCountyFarmersMarkets,Albertson's parking lot on El Camino Real,Atascadero,,Calafornia,93422
Atascadero Farmers Market,,,Morro Road & El Camino Real,Paso Robles,San Luis Obispo,California,93447
Atascadero Main Street CFM,,,Palma & Entrada,Atascadero,San Luis Obispo,California,93422
Atchison Farmers Market,http://www.atchisonfarmersmarket.com,,Between 4th & 6th on Main St.,Atchison,Atchison,Kansas,66002
Athen Farmers Market,,www.Facebook.com/athensfarmersmarket,Wilson Park,Athens,Calhoun,Michigan,49011
Athens Farmers Market,,,Jefferson St.,Athens,,Illinois,62613
Athens Farmers Market,http://www.athensfarmersmarket.org,https://www.facebook.com/pages/Athens-Farmers-Market,1000 East State Street,Athens,Athens,Ohio,45701
Athens Farmers Market at Market Park,http://cityofathenstn.com/parks,,106 South Jackson Street,Athens,McMinn,Tennessee,37303
Athens Farmers Market Downtown,http://www.athensfarmersmarket.net,https://www.facebook.com/AthensFarmersMarket,301 College Ave,Athens,Clarke,Georgia,30601
"Athens Farmers Market, LLC",http://www.athensfarmersmarket.net,https://www.facebook.com/AthensFarmersMarket,300 Sunset Drive (Bishop Park),Athens,Clarke,Georgia,30606
Athens Locally Grown,http://www.athens.locallygrown.net,,670 W. Broad Street,Athens,Clarke,Georgia,30603
Atherton Market,http://www.athertonmillandmarket.com,https://www.facebook.com/athertonmillandmarket,2104 South Boulevard,Charlotte,Mecklenburg,North Carolina,28203
Athol Farmers Market,http://www.townofathol.org,,Athol Uptown Common,Athol,Worcester,Massachusetts,1331
Atlanta State Farmers Market,,,16 Forest Parkway,Forest Park,Clayton,Georgia,30927
Atlantic City Farmers' Market,http://www.acsid.com,,1200 Atlantic Avenue between North & South Carolina Avenues,Atlantic City,Atlantic,New Jersey,8401
Atlantic Farmers Market,,,1200 7th Street E.,Atlantic,Cass,Iowa,50022
Atlantic Highlands Chamber of Commerce Farmers' Market,http://www.AtlanticHighlands.org,,111 First Avenue,Atlantic Highlands,Monmouth,New Jersey,7716
Atmore Farmers Market,,,201 East Louisville Avenue,Atmore,Escambia,Alabama,36504
Attala County Farmers Market,,https://www.facebook.com/pages/Attala-County-Farmers-Market/244536342327690,450 hwy 12 East,Kosciusko,Attala,Mississippi,39090
Attalla City Farmers Market,,https://www.facebook.com/pages/City-of-Attalla/123797897678490,3rd St N (Hwy 11) beside Jack's Restaurant,Attalla,Etowah,Alabama,39554
Attleboro Farmers Market,http://www.attleborofarmersmarket.com,https://www.facebook.com/AttFrmMkt,"732 Park Street, Finberg Field",Attleboro,Bristol,Massachusetts,2703
Atwater Village Farmers' Market,http://www.seela.org/atwater-village-farmers-market/,https://www.facebook.com/pages/Atwater-Village-Farmers-Market/336210064056,3250 Glendale Blvd,Los Angeles ,Los Angeles,California,90039
Auburn Dewitt Center Farmers Market,http://www.foothillfarmersmarket.com,,"DeWitt Center, B Avenue at First Street",Auburn,Placer,California,95602
Auburn Farmer's Market,http://www.cityofauburn-ga.org/,,corner of Fourth Avenue and Mt. Moriah Road,Auburn,Barrow,Georgia,30011
Auburn Farmers Co-op Market Inc.,http://www.Auburnfarmerscoopmarketinc.com,https://www.facebook.com/AuburnFarmersCoOpMarketInc,97 state street,Auburn,Cayuga,New York,13021
Auburn Farmers Market,,,Courthouse Square,Auburn,Placer,Indiana,46706
Auburn Farmers Market,http://www.auburnpres.org,,Auburn Presbyterian Church,Auburn,Shawnee,Kansas,66402
Auburn Farmers Market,,,"369 Southbridge St, Auburn Library Parking Lot, Rte 12",Auburn,,Massachusetts,1501
Auburn Hills Farmers Market,http://www.auburnhills.org/farmersmarket,,Auburn and Squirrel Road,Auburn Hills,Oakland,Michigan,48326
Auburn International Farmers Market,http://www.auburnfarmersmarket.org,www.facebook.com/AuburnInternationalFarmersMarket,23 A Street SW,Auburn ,King,Washington,98002
Auburn Lake of Pines Farmers Market,http://www.foothillfarmersmarket.com,,Red Wagon Restaurant parking lot,Auburn,Placer,California,95603
Auburn Marketplace Farmers Market,,,Lincoln Way & Cherry Ave.,Auburn,Placer,California,95603
Auburn Old Town Farmers Market,http://www.foothillfarmersmarket.com,,Auburn-Folsom Rd. & Lincoln Way,Auburn,Placer,California,95603
Audubon Farmers Market,http://www.audubonneighborhood.org/content/audubon-farmers’-market,,Johnson Street NE and 27th Ave NE,Minneapolis,Hennepin,Minnesota,55418
Audubon Farmers Market,,,"City Park, east side",Audubon,Audubon,Iowa,50025
Audubon Park Community Market,http://audubonmarket.com/,https://www.facebook.com/apmarket,1842 East Winter Park Road,Orlando,Orange,Florida,32803
Augsburg Farmers Market,http://www.iatp.org/minimarkets,,7th St S and 22 Ave S,Minneapolis,Hennepin,Minnesota,
Augusta Farmers' Market at Mill Park,http://www.augustamaine.gov/index.asp?Type=B_BASIC&SEC={FFE91C07-6389-4065-B49A-6EEF08D7D3B5}&DE=,,1 Water St. Mill Park,Augusta,Kennebec,Maine,4330
Augusta State Farmer's Market,http://WWW.AGR.GEORGIA.GOV,,1150 5TH STREET,AUGUSTA,Richmond,Georgia,30901
Aurora Farmers Market,http://www.denverfarmersmarket.com,,333 North Havana Street,Aurora,Arapahoe,Colorado,
Aurora Local Farmer's Market - Summer Market,,,Oak Street & Park Avenue,Aurora,Lawrence,Missouri,65605
Aurora Local Farmers' Market,,,Park Ave. and Church St,Aurora,Lawrence,Missouri,65605
Aurora Local Farmers' Market - Winter Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1663,,Highway 60 and 39,Aurora ,Lawrence,Missouri,65605
Aurora's Farmers Market Downtown,http://www.aurora-il.org,Friends of Aurora's Farmers Market,233 North Broadway,Aurora ,Kane,Illinois,60505
Aurora's Farmers Market East,http://www.aurora-il.org,Friends of Aurora's Farmers Market,701 South Eola Road,Aurora ,DuPage,Illinois,60504
Aurora's Farmers Market West,http://www.aurora-il.org,Friends of Aurora's Farmers Market,1901 West Galena Blvd.,Aurora ,Kane,Illinois,60506
Ausable Valley Farmers Market,,https://www.facebook.com/pages/Ausable-Valley-Farmers-Market/124928937581337,,Ausable Forks,Essex,New York,12912
Austin (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,,5600 W. Madison St.,Chicago,Cook,Illinois,60644
Austin Farmer's Market,http://localfoodcampaign.org/,https://www.facebook.com/pages/Austin-Farmers-Market,Oakland Ave & 4th Street NE,Austin,Mower,Minnesota,55912
Austin Farmers Market - Indoor Winter Market,http://www.localfoodcampaign.org/,https://www.facebook.com/pages/Austin-Farmers-Market/369554973104?ref=hl,1301 18th Ave NW,Austin,Mower,Minnesota,55912
Ava Farmers Market,,,Main St. & Fifth,Ava,Jackson,Illinois,62907
Ava Growers' Market,http://www.usdalocalfooddirectories.com/farmersmarketdirectoryupdate/FM_BasicInfo.aspx?source=en&did=Wr9I0nOZZPBL7IAEse8z5w%3d%3d&cid=TaSF3iA3jK80vXTmtxIL3A==,,Center of the Square,Ava ,Douglas,Missouri,65608
Aventura  mall market,http://www.rhemrketcompany.org,,19501 biscayne boulevard,adventura,Miami-Dade,Florida,33138
Avery County Farmers Market,,,Newland Elementary School Parking Lot Highway 18,Newland,Avery County,North Carolina,
Avon Farmers Market,http://www.avongov.org,,8244 E US Hwy 36,Avon,Hendricks,Indiana,IN
Avon Market Days,http://www.avonfarmersmarket.org,,270 East Main St.,Avon,Livingston,New York,14414
Avon Park Farmers Market,,https://www.facebook.com/avonparkfarmersmarket,Donoldson Park,Avon Park,,Florida,33825
Avondale Farmers Market,,,92 Watch Hill Road,Westerly,WASHINGTON,Rhode Island,
Avondale Farmers Market at Friendship Park,http://www.arizonafarmersmarkets.com,https://www.facebook.com/pages/Avondale-Farmers-Market/238106399573107,12325 W. McDowell Rd.,Avondale,Maricopa,Arizona,85392
